Number,Title,Description,Labels,Status,Repository,Assignees,CreatedAt,UpdatedAt,ClosedAt,URL,access-control,accessibility,accommodations,admin,advocacy,advocate,alerts,algorithm,analytics,articles,audio,audit,automation,behavior,cases,charts,checklist,cognitive,collaboration,communication,comparison,compliance,concerns,confirmation,consent,contrast,dashboard,data-retention,deadlines,detection,directory,documents,email,epic:accessibility,epic:file-mgmt,epic:legal-kb,epic:lineage,epic:meeting-prep,epic:mobile-advocate,epic:mobile-parent,epic:mobile-teacher,epic:notifications,epic:progress-viz,epic:security,epic:smart-prompts,escalation,exit,export,ferpa,goals,graphs,i18n,inactivity,knowledge-base,legal,letters,library,lineage,localization,logging,lre,media,meetings,messaging,mobile,nlp,notes,notifications,ocr,organization,parent,parent-input,pdf,placement,preferences,preparation,priority:critical,priority:high,priority:low,priority:medium,privacy,profile,progress,questions,readability,reminders,resources,screen-reader,security,services,settings,sharing,smart-prompts,state-regulations,students,summary,tagging,teacher,templates,text-size,text-to-speech,timeline,timelines,tracking,upload,viewer,vision,visualization,wcag
8,"A module for GCP bucket , file upload , download (API)",,,Done,ASKIEP/iepapp,,2026-01-08T20:06:14Z,2026-01-08T20:06:21Z,2026-01-08T20:06:21Z,https://github.com/ASKIEP/iepapp/issues/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ui - make add widget across system,,,In Progress,ASKIEP/iepapp,,2026-01-09T20:07:35Z,2026-01-09T20:07:35Z,,https://github.com/ASKIEP/iepapp/issues/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Create Fields discovery and UI additions (web),"There are only valid UI scenarios for view   Start working on adding model views for adding/editing data   (As of now let it be saved in browsers indexed db)  Once API setup has been completed , we will  convert it",,In Progress,ASKIEP/iepapp,Kathir-Kalidass,2026-01-06T19:53:16Z,2026-01-06T19:55:00Z,,https://github.com/ASKIEP/iepapp/issues/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Api - configure gcp bucket,,,In Progress,ASKIEP/iepapp,,2026-01-09T20:15:32Z,2026-01-09T20:15:32Z,,https://github.com/ASKIEP/iepapp/issues/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ui - approve/reject different type of users,The admin should have the ability to approve reject users,,In Progress,ASKIEP/iepapp,,2026-01-11T21:30:26Z,2026-01-11T21:30:26Z,,https://github.com/ASKIEP/iepapp/issues/45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Api - Integrate Rag api with Google Gemini,,,Todo,ASKIEP/iepapp,,2026-01-09T20:10:03Z,2026-01-09T20:10:03Z,,https://github.com/ASKIEP/iepapp/issues/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Api - create audit table for all write operations,,,Todo,ASKIEP/iepapp,,2026-01-09T20:11:03Z,2026-01-09T20:11:03Z,,https://github.com/ASKIEP/iepapp/issues/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Change Password (api and ui),,,Todo,ASKIEP/iepapp,,2026-01-09T20:21:46Z,2026-01-11T21:34:10Z,,https://github.com/ASKIEP/iepapp/issues/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Setup Firebase for google login (dev),,,Todo,ASKIEP/iepapp,,2026-01-11T20:58:22Z,2026-01-11T20:58:22Z,,https://github.com/ASKIEP/iepapp/issues/39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Api - Setup Firebase admin sdk,The firebase sdk should be used for token validation. But all user details should be in postgres table,,Todo,ASKIEP/iepapp,,2026-01-11T20:59:31Z,2026-01-11T20:59:31Z,,https://github.com/ASKIEP/iepapp/issues/40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
